facility_key,service_name,state,provider_type,size,overall_stars,outcome_composite,predicted_outcome,residual,rating_classification,is_statistical_outlier,quality_measures_stars,compliance_stars,persistent_food_failure,high_compliance_dignity_gap,adequately_staffed_poor_outcomes,understaffed_good_outcomes,five_star_low_qm,is_hidden_champion
Yallaroo | Lutheran Aged Care Albury,Yallaroo,NSW,Not for Profit,Small,4.0,-0.07428099678975854,0.0435760823187199,-0.11785707910847844,Aligned,False,2.0,5.0,False,False,True,False,False,False
Anglicare Mildred Symons House | Anglican Community Services,Anglicare Mildred Symons House,NSW,Not for Profit,Large,4.0,0.698738009004736,0.0435760823187199,0.6551619266860161,Potentially under-rated,False,5.0,5.0,False,False,False,False,False,False
Bowral House Nursing Home | Thompson Health Care Pty Ltd,Bowral House Nursing Home,NSW,Private for Profit,Medium,4.0,-0.09698229210536424,0.0435760823187199,-0.14055837442408414,Aligned,False,3.0,5.0,False,False,False,False,False,False
Whiddon Moree | The Frank Whiddon Masonic Homes of New South Wales,Whiddon Moree,NSW,Not for Profit,Small,4.0,-0.007826472295917672,0.0435760823187199,-0.05140255461463757,Aligned,False,3.0,5.0,False,False,False,False,False,False
William Beech Gardens - Bushmaster | RSL LifeCare Limited,William Beech Gardens - Bushmaster,NSW,Not for Profit,Small,4.0,-0.2943944834294674,0.0435760823187199,-0.3379705657481873,Aligned,False,2.0,4.0,False,False,True,False,False,False
Uniting Wesley Heights Manly | The Uniting Church in Australia Property Trust (NSW),Uniting Wesley Heights Manly,NSW,Not for Profit,Medium,4.0,0.8553355232150989,0.0435760823187199,0.811759440896379,Potentially under-rated,False,5.0,5.0,False,False,False,False,False,False
Scalabrini Village Nursing Home (Austral) | Scalabrini Village Ltd,Scalabrini Village Nursing Home (Austral),NSW,Not for Profit,Large,3.0,0.6213015040285751,-0.1719882124381784,0.7932897164667535,Potentially under-rated,False,5.0,4.0,False,False,False,False,False,True
Hillgrove House | Sapphire Coast Community Aged Care Ltd,Hillgrove House,NSW,Not for Profit,Medium,3.0,0.08718179737809682,-0.1719882124381784,0.25917000981627525,Aligned,False,3.0,5.0,False,False,False,False,False,False
Harbison Burradoo | Harbison Memorial Retirement Village,Harbison Burradoo,NSW,Not for Profit,Medium,4.0,0.5831646827332712,0.0435760823187199,0.5395886004145513,Potentially under-rated,False,4.0,5.0,False,False,False,False,False,False
IRT Woonona | Illawarra Retirement Trust,IRT Woonona,NSW,Not for Profit,Medium,4.0,-0.23703546205717907,0.0435760823187199,-0.28061154437589897,Aligned,False,1.0,5.0,False,False,True,False,False,False
Mercy Place Albury | Mercy Aged and Community Care Ltd,Mercy Place Albury,NSW,Not for Profit,Medium,4.0,-0.2125376957497854,0.0435760823187199,-0.2561137780685053,Aligned,False,3.0,5.0,True,False,False,False,False,False
Anglicare Piper House | Anglican Community Services,Anglicare Piper House,NSW,Not for Profit,Large,3.0,-0.32252577940956556,-0.1719882124381784,-0.15053756697138715,Aligned,False,2.0,5.0,False,False,True,False,False,False
Adelene Nursing Home | Alino Living,Adelene Nursing Home,NSW,Not for Profit,Small,4.0,-0.3936695337235163,0.0435760823187199,-0.4372456160422362,Aligned,False,2.0,5.0,True,True,True,False,False,False
Catholic Healthcare Lewisham Nursing Home | Catholic Healthcare Limited,Catholic Healthcare Lewisham Nursing Home,NSW,Not for Profit,Small,4.0,0.78663247176027,0.0435760823187199,0.7430563894415501,Potentially under-rated,False,5.0,5.0,False,False,False,False,False,False
Whiddon Narrabri Jessie Hunt | The Frank Whiddon Masonic Homes of New South Wales,Whiddon Narrabri Jessie Hunt,NSW,Not for Profit,Small,4.0,-0.06317132538675564,0.0435760823187199,-0.10674740770547554,Aligned,False,3.0,5.0,False,False,False,False,False,False
Bupa Kempsey | Bupa Aged Care Australia Pty Ltd,Bupa Kempsey,NSW,Private for Profit,Medium,4.0,0.28857889020665367,0.0435760823187199,0.24500280788793377,Aligned,False,3.0,5.0,False,False,False,False,False,False
Florence Price Gardens | RSL LifeCare Limited,Florence Price Gardens,NSW,Not for Profit,Large,4.0,-0.4013778424671663,0.0435760823187199,-0.4449539247858862,Aligned,False,3.0,5.0,False,False,False,False,False,False
Estia Health Figtree | Estia Investments Pty Ltd,Estia Health Figtree,NSW,Private for Profit,Medium,4.0,-0.21883775822912532,0.0435760823187199,-0.2624138405478452,Aligned,False,3.0,5.0,False,False,False,False,False,False
Estia Health Wyoming | Estia Investments Pty Ltd,Estia Health Wyoming,NSW,Private for Profit,Small,3.0,-0.4029018340661265,-0.1719882124381784,-0.2309136216279481,Aligned,False,3.0,4.0,False,False,False,False,False,False
Whiddon Grafton | The Frank Whiddon Masonic Homes of New South Wales,Whiddon Grafton,NSW,Not for Profit,Medium,4.0,-0.34380877441849034,0.0435760823187199,-0.38738485673721024,Aligned,False,2.0,5.0,False,False,True,False,False,False
Uniting Tumut | The Uniting Church in Australia Property Trust (NSW),Uniting Tumut,NSW,Not for Profit,Medium,4.0,0.0951864572640543,0.0435760823187199,0.051610374945334395,Aligned,False,3.0,5.0,False,False,False,False,False,False
Hudson House | Respect Group Limited,Hudson House,NSW,Not for Profit,Small,3.0,0.0035083564198246653,-0.1719882124381784,0.17549656885800308,Aligned,False,4.0,4.0,False,False,False,False,False,False
Kurrajong & District Community Nursing Home | Kurrajong and District Hospital Society Inc,Kurrajong & District Community Nursing Home,NSW,Not for Profit,Small,4.0,0.3574303063609489,0.0435760823187199,0.313854224042229,Aligned,False,5.0,5.0,True,False,False,False,False,False
Karingal Gardens | Bushland Health Group Limited,Karingal Gardens,NSW,Not for Profit,Medium,4.0,-0.40459559279833646,0.0435760823187199,-0.44817167511705636,Aligned,False,3.0,5.0,False,False,False,False,False,False
Uniting Garden Suburb | The Uniting Church in Australia Property Trust (NSW),Uniting Garden Suburb,NSW,Not for Profit,Medium,4.0,-0.3030643308618081,0.0435760823187199,-0.346640413180528,Aligned,False,1.0,5.0,False,False,True,False,False,False
Lilliane Brady Village | Cobar Shire Council,Lilliane Brady Village,NSW,Government,Small,3.0,-0.258874704928665,-0.1719882124381784,-0.08688649249048658,Aligned,False,2.0,3.0,False,False,True,False,False,False
Uniting Edinglassie Emu Plains | The Uniting Church in Australia Property Trust (NSW),Uniting Edinglassie Emu Plains,NSW,Not for Profit,Medium,4.0,-0.007366048092594742,0.0435760823187199,-0.050942130411314644,Aligned,False,3.0,5.0,False,False,False,False,False,False
IRT Sarah Claydon | Illawarra Retirement Trust,IRT Sarah Claydon,NSW,Not for Profit,Medium,4.0,0.5705113893509357,0.0435760823187199,0.5269353070322158,Potentially under-rated,False,4.0,4.0,False,False,False,False,False,False
Patrick Bugden VC Gardens | RSL LifeCare Limited,Patrick Bugden VC Gardens,NSW,Not for Profit,Medium,4.0,0.27977879906740816,0.0435760823187199,0.23620271674868826,Aligned,False,3.0,5.0,False,False,False,False,False,False
St Andrew's Village Ballina | St Andrew's Village Ballina Limited,St Andrew's Village Ballina,NSW,Not for Profit,Large,4.0,-0.10543289316048743,0.0435760823187199,-0.14900897547920733,Aligned,False,3.0,5.0,False,False,False,False,False,False
Catholic Healthcare Gertrude Abbott Aged Care | Catholic Healthcare Limited,Catholic Healthcare Gertrude Abbott Aged Care,NSW,Not for Profit,Medium,4.0,0.40723754774020215,0.0435760823187199,0.36366146542148226,Aligned,False,3.0,5.0,False,True,False,False,False,False
St Lukes Nursing Home | St Luke's Care,St Lukes Nursing Home,NSW,Not for Profit,Large,4.0,0.4557943367921277,0.0435760823187199,0.4122182544734078,Aligned,False,3.0,5.0,False,False,False,False,False,False
Murrayvale Aged Care | Domacwa Holdings Pty Ltd,Murrayvale Aged Care,NSW,Private for Profit,Small,4.0,0.7049801497970195,0.0435760823187199,0.6614040674782996,Potentially under-rated,False,5.0,5.0,False,False,False,False,False,False
Uniting McKay House Tamworth | The Uniting Church in Australia Property Trust (NSW),Uniting McKay House Tamworth,NSW,Not for Profit,Small,4.0,-0.11805745388037392,0.0435760823187199,-0.16163353619909382,Aligned,False,3.0,5.0,False,True,False,False,False,False
Crowley Retirement Village | The Trustees of the Roman Catholic Church for the Diocese of Lismore,Crowley Retirement Village,NSW,Not for Profit,Medium,3.0,0.16254166887408525,-0.1719882124381784,0.3345298813122637,Aligned,False,3.0,5.0,False,False,False,False,False,True
Crowley Retirement Village | The Trustees of the Roman Catholic Church for the Diocese of Lismore,Crowley Retirement Village,NSW,Not for Profit,Medium,3.0,0.16254166887408525,-0.1719882124381784,0.3345298813122637,Aligned,False,3.0,5.0,False,False,False,False,False,True
Uniting Kingscliff | The Uniting Church in Australia Property Trust (NSW),Uniting Kingscliff,NSW,Not for Profit,Medium,4.0,-0.7318113822049366,0.0435760823187199,-0.7753874645236565,Potentially over-rated,False,2.0,5.0,False,True,True,False,False,False
Garden Village | Garden Village Port Macquarie,Garden Village,NSW,Not for Profit,Large,3.0,-0.6871324324070801,-0.1719882124381784,-0.5151442199689017,Potentially over-rated,False,1.0,5.0,False,False,True,False,False,False
IRT Dalmeny | Illawarra Retirement Trust,IRT Dalmeny,NSW,Not for Profit,Small,4.0,0.5076051840470545,0.0435760823187199,0.46402910172833456,Potentially under-rated,False,4.0,5.0,False,False,False,False,False,False
Whiddon Casino | The Frank Whiddon Masonic Homes of New South Wales,Whiddon Casino,NSW,Not for Profit,Medium,4.0,-0.3275152126616166,0.0435760823187199,-0.3710912949803365,Aligned,False,3.0,5.0,False,False,False,False,False,False
Bethany Aged Care Plus Centre | The Salvation Army (NSW) Property Trust,Bethany Aged Care Plus Centre,NSW,Not for Profit,Medium,3.0,0.19640487841297238,-0.1719882124381784,0.3683930908511508,Aligned,False,3.0,5.0,False,False,False,False,False,False
Green Hills Residential Care Service | The Churches of Christ Property Trust,Green Hills Residential Care Service,NSW,Not for Profit,Large,4.0,0.09029343106663508,0.0435760823187199,0.04671734874791518,Aligned,False,3.0,5.0,False,False,False,False,False,False
Estia Health Tuncurry | Estia Investments Pty Ltd,Estia Health Tuncurry,NSW,Private for Profit,Large,4.0,0.6148510165379123,0.0435760823187199,0.5712749342191924,Potentially under-rated,False,5.0,5.0,False,False,False,False,False,False
Harbourside Residential Care | Port Stephens Veterans and Citizens Aged Care Ltd,Harbourside Residential Care,NSW,Not for Profit,Large,4.0,-0.03103540478516704,0.0435760823187199,-0.07461148710388694,Aligned,False,3.0,4.0,False,False,False,False,False,False
St Vincent's Care Services Heathcote | St Vincent's Care Services Ltd,St Vincent's Care Services Heathcote,NSW,Not for Profit,Large,4.0,0.26610319306171254,0.0435760823187199,0.22252711074299264,Aligned,False,3.0,5.0,False,False,False,False,False,False
Imlay House | Sapphire Coast Community Aged Care Ltd,Imlay House,NSW,Not for Profit,Small,4.0,-0.01875349559244696,0.0435760823187199,-0.06232957791116686,Aligned,False,3.0,5.0,False,False,False,False,False,False
